first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Joe,White,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
William,Osula,4,1,48,454,10,30.6,148.0,167.0,7,172,34.4,1,0,0,0.6,54,FWD,8.9
Sean,Neave,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43,FWD,0.0
Aaron,Ramsdale,0,0,25,1003,17,10.0,212.8,0.0,1,107,22.3,1,0,2,0.8,48,GK,5.2
Malick,Thiaw,4,0,117,2513,46,106.5,764.6,370.0,12,382,123.8,5,0,4,5.7,51,DEF,22.9
Seung-Soo,Park,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,43,MID,0.0
Nick,Woltemade,7,4,95,1670,27,206.9,390.0,392.0,10,336,97.8,7,0,0,6.6,67,FWD,14.2
John,Ruddy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Leo,Shahar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Sam,Alabi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Oleksandr,Zinchenko,0,0,7,352,6,83.4,80.8,22.0,0,56,18.6,0,0,0,0.2,49,DEF,1.4
Stefan,Ortega Moreno,0,0,11,270,4,0.0,68.6,0.0,0,38,6.9,1,0,0,0.2,47,GK,2.3
James,McAtee,0,0,9,173,8,45.5,17.6,12.0,0,32,7.6,0,0,1,0.1,50,MID,1.8
Matz,Sels,0,0,82,2217,33,10.0,550.6,0.0,3,337,56.1,6,0,2,5.1,46,GK,17.8
Carlos Miguel,dos Santos Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Nikola,Milenković,0,1,103,2970,45,41.8,579.6,108.0,2,353,73.2,8,0,6,3.4,51,DEF,20.2
Murillo,Costa dos Santos,1,0,83,2130,29,115.5,542.2,82.0,3,333,74.0,6,0,5,2.0,52,DEF,16.0
Ola,Aina,0,1,58,1497,19,159.4,267.8,57.0,5,233,48.6,5,0,3,2.4,47,DEF,12.3
Neco,Williams,2,3,117,2798,42,513.1,718.8,343.0,15,482,157.4,8,1,5,5.1,48,DEF,24.4
David,Mota Veiga Teixeira do Carmo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Jair,Paula da Cunha Filho,0,0,6,262,5,2.4,62.0,10.0,0,24,7.3,0,0,0,0.1,42,DEF,1.4
Felipe,Rodrigues da Silva,0,0,36,940,17,21.0,235.0,59.0,1,148,31.5,2,0,4,0.1,43,DEF,8.4
Omar,Richards,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Zach,Abbott,0,0,2,120,4,6.3,25.4,0.0,0,1,3.2,0,0,0,0.3,38,DEF,0.5
Willy,Boly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,38,DEF,0.0
Morgan,Gibbs-White,12,2,155,2811,41,670.0,678.2,720.0,14,597,206.6,9,0,1,10.9,75,MID,20.7
Callum,Hudson-Odoi,3,4,88,1838,26,611.7,366.6,330.0,8,358,130.6,6,0,0,0.7,57,MID,15.4
Elliot,Anderson,2,3,144,2953,44,862.3,729.6,253.0,10,662,184.8,9,0,6,7.2,56,MID,25.7
João Pedro,Ferreira da Silva,0,0,1,11,0,0.5,5.0,4.0,0,6,1.0,0,0,0,0.0,54,MID,0.2
Nicolás,Domínguez,1,1,43,939,18,170.5,216.0,126.0,3,188,51.3,3,0,2,0.0,50,MID,8.6
Lewis,O'Brien,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Ibrahim,Sangaré,2,2,83,1944,24,200.3,397.4,126.0,2,340,72.5,8,0,5,0.1,49,MID,16.9
Ryan,Yates,0,2,25,419,5,65.3,98.6,38.0,0,102,20.0,0,0,1,0.1,47,MID,5.3
Eric,da Silva Moreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
Marko,Stamenić,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Chris,Wood,2,0,28,638,9,64.7,77.6,201.0,3,93,33.3,1,0,0,4.6,71,FWD,3.9
Igor Jesus,Maciel da Cruz,4,4,90,1927,32,186.7,299.0,586.0,10,310,104.8,8,0,0,1.8,58,FWD,15.5
Taiwo,Awoniyi,2,0,20,268,2,41.9,85.4,151.0,1,81,27.3,0,0,1,0.3,52,FWD,3.8
Dan,Ndoye,1,2,50,1167,17,217.7,166.4,180.0,4,178,56.6,2,0,1,0.7,55,MID,9.1
Angus,Gunn,0,0,1,45,0,0.0,1.2,0.0,0,4,0.1,0,0,0,1.1,40,GK,0.2
Omari,Hutchinson,1,6,70,1428,19,435.5,282.6,312.0,3,279,102.8,5,0,1,0.1,54,MID,13.0
Arnaud,Kalimuendo,0,0,9,89,3,17.7,6.8,39.0,0,24,6.3,0,0,0,0.1,60,FWD,1.5
