Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,474,,Fabian Schär
-1,475,,Sven Botman
-1,476,,Dan Burn
-1,477,,Tino Livramento
-1,478,,Kieran Trippier
-1,479,,Emil Krafth
-1,480,,Jamaal Lascelles
-1,481,,Alex Murphy
-1,482,,Harrison Ashby
-1,483,,Miodrag Pivaš
-1,484,,Matt Targett
-1,485,,Anthony Gordon
-1,486,,Anthony Elanga
-1,487,,Harvey Barnes
-1,488,,Bruno Guimarães Rodriguez Moura
-1,489,,Jacob Murphy
-1,490,,Joelinton Cássio Apolinário de Lira
-1,491,,Sandro Tonali
-1,492,,Antoñito Cordero Campillo
-1,494,,Joe Willock
-1,495,,Isaac Hayden
-1,496,,Garang Kuol
-1,497,,Lewis Miley
-1,498,,Joe White
-1,500,,William Osula
-1,501,,Sean Neave
-1,674,,Aaron Ramsdale
-1,684,,Malick Thiaw
-1,689,,Seung-Soo Park
-1,714,,Nick Woltemade
-1,753,,John Ruddy
-1,765,,Leo Shahar
-1,772,,Sam Alabi
-1,12,,Oleksandr Zinchenko
-1,426,,James McAtee
-1,502,,Matz Sels
-1,503,,Carlos Miguel dos Santos Pereira
-1,504,,Matt Turner
-1,505,,Nikola Milenković
-1,506,,Murillo Costa dos Santos
-1,507,,Ola Aina
-1,508,,Neco Williams
-1,509,,David Mota Veiga Teixeira do Carmo
-1,510,,Jair Paula da Cunha Filho
-1,511,,Felipe Rodrigues da Silva
-1,512,,Omar Richards
-1,513,,Zach Abbott
-1,514,,Willy Boly
-1,515,,Morgan Gibbs-White
-1,516,,Callum Hudson-Odoi
-1,517,,Elliot Anderson
-1,518,,João Pedro Ferreira da Silva
-1,519,,Nicolás Domínguez
-1,520,,Lewis O'Brien
-1,521,,Ibrahim Sangaré
-1,522,,Ryan Yates
-1,523,,Eric da Silva Moreira
-1,524,,Marko Stamenić
-1,525,,Chris Wood
-1,526,,Igor Jesus Maciel da Cruz
-1,527,,Taiwo Awoniyi
-1,669,,Dan Ndoye
-1,675,,Angus Gunn
-1,693,,Omari Hutchinson
-1,696,,Arnaud Kalimuendo
-1,699,,Douglas Luiz Soares de Paulo
-1,715,,John Victor Maciel Furtado
-1,716,,Nicolò Savona
-1,729,,Luis Eduardo Soares da Silva
-1,734,,Dilane Bakwa
-1,528,,Anthony Patterson
-1,529,,Simon Moore
-1,530,,Blondy Nna Noukeu
-1,531,,Daniel Ballard
-1,532,,Trai Hume
-1,533,,Aji Alese
-1,534,,Joe Anderson
-1,535,,Dennis Cirkin
-1,536,,Leo Fuhr Hjelde
-1,537,,Niall Huggins
-1,538,,Zak Johnson
-1,539,,Luke O'Nien
-1,540,,Timothée Pembélé
-1,541,,Reinildo Mandava
-1,542,,Jenson Seelt
-1,543,,Simon Adingra
-1,544,,Habib Diarra
-1,545,,Patrick Roberts
-1,546,,Milan Aleksić
-1,547,,Enzo Le Fée
-1,548,,Romaine Mundle
-1,549,,Dan Neil
-1,550,,Ian Poveda-Ocampo
-1,551,,Chris Rigg
-1,552,,Noah Sadiki
-1,553,,Chemsdine Talbi
-1,554,,Abdoullah Ba
-1,555,,Alan Browne
-1,556,,Pierre Ekwah Elimby
-1,557,,Harrison Jones
-1,558,,Jay Matete
-1,559,,Nectarios Triantis
-1,560,,Wilson Isidor
-1,561,,Eliezer Mayenda Dossou
-1,562,,Ahmed Abdullahi
-1,563,,Luís Hemir Silva Semedo
-1,564,,Nazarii Rusyn
-1,668,,Granit Xhaka
-1,670,,Robin Roefs
-1,678,,Arthur Masuaku
-1,683,,Omar Alderete
-1,694,,Nordi Mukiele
-1,724,,Lutsharel Geertruida
-1,730,,Brian Brobbey
-1,735,,Bertrand Traoré
-1,774,,Jenson Jones
-1,775,,Tymur Tutierov
-1,565,,Guglielmo Vicario
-1,566,,Brandon Austin
-1,567,,Antonín Kinský
-1,568,,Pedro Porro Sauceda
-1,569,,Cristian Romero
-1,570,,Kevin Danso
-1,571,,Ben Davies
-1,572,,Radu Drăgușin
-1,573,,Djed Spence
-1,574,,Destiny Udogie
-1,575,,Micky van de Ven
-1,576,,Ashley Phillips
-1,577,,Takai Kōta
-1,578,,Luka Vušković
-1,579,,Son Heung-min
-1,581,,James Maddison
-1,582,,Mohammed Kudus
-1,583,,Dejan Kulusevski
-1,584,,Mathys Tel
-1,585,,Rodrigo Bentancur
-1,586,,Lucas Bergvall
-1,587,,Yves Bissouma
-1,588,,Wilson Odobert
-1,589,,Manor Solomon
-1,590,,Bryan Gil Salvatierra
-1,591,,Archie Gray
-1,592,,Mikey Moore
-1,593,,Pape Matar Sarr
-1,594,,Yang Min-hyeok
-1,595,,Callum Olusesi
-1,596,,Dominic Solanke-Mitchell
-1,597,,Richarlison de Andrade
-1,598,,Will Lankshear
-1,599,,Dane Scarlett
-1,673,,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves
-1,717,,Xavi Simons
-1,726,,Randal Kolo Muani
-1,745,,Jun'ai Byfield
-1,750,,James Rowswell
-1,751,,Yusuf Akhamrich
-1,790,,Lucá Williams-Barnett
-1,796,,Conor Gallagher
-1,149,,Igor Julio dos Santos de Paulo
-1,600,,Alphonse Areola
-1,601,,Wes Foderingham
-1,602,,Krisztián Hegyi
-1,603,,El Hadji Malick Diouf
-1,604,,Emerson Palmieri dos Santos
-1,605,,Maximilian Kilman
-1,606,,Konstantinos Mavropanos
-1,607,,Nayef Aguerd
-1,608,,Ollie Scarles
-1,609,,Jean-Clair Todibo
-1,610,,Aaron Wan-Bissaka
-1,611,,Kaelan Casey
-1,612,,Lucas Tolentino Coelho de Lima
-1,613,,Tomáš Souček
-1,614,,James Ward-Prowse
-1,615,,Crysencio Summerville
-1,616,,Edson Álvarez Velázquez
-1,617,,Maxwel Cornet
-1,618,,Guido Rodríguez
-1,619,,Luis Guilherme Lira dos Santos
-1,620,,George Earthy
-1,621,,Andy Irving
-1,622,,Lewis Orford
-1,623,,Freddie Potts
-1,624,,Jarrod Bowen
-1,625,,Niclas Füllkrug
-1,626,,Callum Marshall
-1,659,,Kyle Walker-Peters
-1,671,,Callum Wilson
-1,679,,Mads Hermansen
-1,708,,Mateus Gonçalo Espanha Fernandes
-1,718,,Soungoutou Magassa
-1,738,,Lukasz Fabianski
-1,747,,Ezra Mayers
-1,752,,Airidas Golambeckis
-1,758,,Mohamadou Kanté
-1,785,,Pablo Felipe Pereira de Jesus
-1,791,,Valentín Castellanos
-1,627,,Sam Johnstone
-1,628,,José Malheiro de Sá
-1,629,,Daniel Bentley
-1,631,,Emmanuel Agbadou
-1,632,,Matt Doherty
-1,633,,Hugo Bueno López
-1,634,,Yerson Mosquera Valdelamar
-1,635,,Rodrigo Martins Gomes
-1,636,,Santiago Ignacio Bueno
-1,637,,Toti Gomes
-1,638,,Ki-Jana Hoever
-1,639,,Bastien Meupiyou Menadjou
-1,640,,Pedro Cardoso de Lima
-1,641,,Alfie Pond
-1,642,,Hwang Hee-chan
-1,643,,André Trindade da Costa Neto
-1,644,,Jean-Ricner Bellegarde
-1,645,,Fer López González
-1,646,,João Victor Gomes da Silva
-1,647,,Gonçalo Manuel Ganchinho Guedes
-1,648,,Marshall Munetsi
-1,649,,Boubacar Traoré
-1,650,,Tawanda Chirewa
-1,651,,Tom Edozie
-1,652,,Enso González Medina
-1,653,,Joe Hodge
-1,654,,Jørgen Strand Larsen
-1,655,,Fábio Soares Silva
-1,656,,Saša Kalajdžić
-1,657,,Leon Chiwome
-1,658,,Nathan Fraser
-1,663,,Jhon Arias
-1,682,,David Møller Wolfe
-1,695,,Jackson Tchatchoua
-1,709,,Ladislav Krejcí
-1,720,,Tolu Arokodare
-1,749,,Mateus Mané
-1,766,,Saheed Olagunju
-1,767,,Luke Rawlings
-1,777,,Temple Ojinnaka
-1,778,,Ethan Sutherland
